"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
8289;2;4;8,00;11,00;"II";"Sw";"Ls3";"G";2;"h0";"c0";;"p-(k)ll(Lg)";;"Ld3";;;"qp";"qp";;"p";"Lg";
8289;3;5;11,00;14,00;"III";"Sd";"Ls2";"G";2;"h0";"c0";;"g-(k)ll(Lg)";;"Ld4";;;"qp";"qp";;"g";"Lg";
8289;3;6;14,00;20,00;;"ilCv";"Ls2";"G";2;"h0";"c0";;"g-(k)ll(Lg)";;"Ld4";;;"qp";"qp";;"g";"Lg";
8290;1;1;0,00;2,50;;"Axh";"Uls";"G";2;"h4";"c0";;"p-(k)lu(Los)";;"Ld2";;;"qp";"qp";;"p";"Los";
8290;1;2;2,50;8,00;;"Axh-Sw";"Uls";"G";2;"h3";"c0";;"p-(k)lu(Los)";;"Ld3";;;"qp";"qp";;"p";"Los";
8290;2;3;8,00;11,00;"II";"Sw";"Ls3";"G";2;"h0";"c0";;"p-(k)ll(Lg)";;"Ld3";;;"qp";"qp";;"p";"Lg";
8290;3;4;11,00;14,00;"III";"Sd";"Ls2";"G";2;"h0";"c0";;"g-(k)ll(Lg)";;"Ld4";;;"qp";"qp";;"g";"Lg";
8290;3;5;14,00;20,00;;"ilCv";"Ls2";"G";2;"h0";"c0";;"g-(k)ll(Lg)";;"Ld4";;;"qp";"qp";;"g";"Lg";
8291;1;1;0,00;3,00;;"Ap";"Slu";"G";2;"h3";"c0";;"p-(k)sl(Slo)";;"Ld2";;;"qp";"qp";;"p";"Slo";
8291;1;2;3,00;4,50;;"Bv";"Su3";"G";1;"h1";"c0";;"p-us(Slo)";;"Ld3";;;"qp";"qp";;"p";"Slo";
8291;1;3;4,50;7,00;;"Bv-Sw";"Su3";"G";2;"h0";"c0";;"p-(k)us(Slo)";;"Ld3";;;"qp";"qp";;"p";"Slo";
